Country,Latitude,Longitude,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
United Kingdom,55.378051,-3.435973,3.674376892,3.717732774,3.751597161,3.786597014,3.830453535,3.892210961,3.983511236,4.102616714,4.250332768,4.418536477,4.591773424
United States,37.09024,-95.712891,5.557425125,5.643624569,5.711304422,5.764999193,5.81958922,5.882108864,5.953979421,6.038230821,6.134729829,6.243277326,6.357438554
Uruguay,-32.522779,-55.765835,6.068324119,6.451477159,6.84922249,7.246362809,7.631605653,7.983384523,8.302681393,8.593453923,8.891279716,9.251209102,9.71971976
Uzbekistan,41.377491,64.585262,15.57451972,16.47229406,17.55166898,18.80900986,20.27017778,21.84939602,23.54817826,25.31816666,27.21219943,29.20413599,31.32176527
Vanuatu,-15.376706,166.959158,21.85375707,22.41914364,22.93413791,23.49784824,24.01558505,24.41544269,24.71130683,24.85011076,24.81963253,24.70429424,24.51945638
Venezuela,6.42375,-66.58973,21.03843638,21.03843638,21.03895442,21.04440387,16.43652921,15.43178351,15.11907022,14.88707296,14.74338777,14.66608311,14.6538885
Vietnam,14.058324,108.277199,15.88450732,16.26984604,16.62850994,16.93798343,17.20117686,17.41704969,17.61709167,17.81839998,18.03866164,18.26122297,18.49557959
Yemen,15.552727,48.516388,43.62303149,43.63969732,43.34170746,43.31079448,43.35883805,42.98612063,42.96296095,42.96414984,43.07747202,43.63425328,44.94046932
Zambia,-13.133897,27.849332,42.41526142,43.36463674,44.12442869,45.78915991,46.72123991,47.47224878,48.74611241,49.92344745,51.02824068,52.32319252,54.13019521
Zimbabwe,-19.015438,29.154857,38.42377559,39.27375559,40.51729447,41.39205678,42.86800907,44.2457063,45.86494942,47.85339403,51.63199778,53.77651756,55.86600423
