Country,Latitude,Longitude,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
China,35.86166,104.195397,6.758933487,7.271503436,7.853088585,8.495061723,9.191308849,9.945807127,10.75849622,11.62393081,12.55731337,13.5586655,14.66021499
Colombia,4.570868,-74.297333,11.8379662,12.20550657,12.62426221,13.02776275,13.43705864,13.88685419,14.33727173,14.80711704,15.29041456,15.76486779,16.25173082
Comoros,-11.875001,43.872219,48.28004612,49.68353256,51.16107157,52.56944058,54.07865501,55.62352401,57.19268132,58.69373967,60.22553925,62.06425621,63.62861583
Cook Islands,-21.236736,-159.777671,6.513911025,6.729932793,6.951794943,7.19882597,7.473970327,7.753961373,8.061639393,8.383300816,8.753904106,9.168257906,9.650143403
Costa Rica,9.748917,-83.753428,7.543570788,7.532697478,7.513284147,7.530816215,7.651215925,7.901234152,8.225598264,8.563596461,8.882570256,9.158825855,9.373485892
Côte d'Ivoire,7.539989,-5.54708,58.59966923,60.58989885,62.23309257,63.88823663,65.33501589,67.01515629,68.87326657,70.86748976,72.87265377,74.69481513,76.65454072
Croatia,45.1,15.2,4.05451865,4.097683361,4.131128977,4.161269125,4.199208998,4.249121363,4.31451641,4.400203892,4.516876176,4.664475254,4.841380345
Cuba,21.521757,-77.781167,3.809897441,3.907033744,4.002123455,4.099446245,4.200018262,4.309225974,4.423976533,4.54347025,4.670317167,4.812008328,4.96033662
Cyprus,35.126413,33.429859,1.839560344,1.921239746,2.009089128,2.11074012,2.220185295,2.33808658,2.462376432,2.601416756,2.754899316,2.931992365,3.127371384
Denmark,56.26392,9.501785,3.240685756,3.337711142,3.418009881,3.47093495,3.494845095,3.49117612,3.469424159,3.446711416,3.443009265,3.473335823,3.551269293
Djibouti,11.825138,42.590275,48.41679949,49.79531909,51.25864059,52.718863,54.25203673,55.880248,57.42562083,59.0089294,60.70958379,62.40987268,64.13366798
Dominica,15.414999,-61.370976,30.93649251,30.30109092,29.44661201,28.42715811,27.27411975,26.05141046,24.78720218,23.54983454,22.35520922,21.22983423,20.17226462
Dominican Republic,18.735693,-70.162651,23.45182975,24.12055393,24.75389831,25.38835288,25.9957598,26.58936001,27.0843399,27.52053321,27.84493281,28.15058068,28.46252949
